,CROISSANTS,DJEMBES,JAMS,KELP,MAGNIFICENT_MACARONS,PICNIC_BASKET1,PICNIC_BASKET2,RAINFOREST_RESIN,SQUID_INK,VOLCANIC_ROCK,VOLCANIC_ROCK_VOUCHER_10000,VOLCANIC_ROCK_VOUCHER_10250,VOLCANIC_ROCK_VOUCHER_10500,VOLCANIC_ROCK_VOUCHER_9500,VOLCANIC_ROCK_VOUCHER_9750,Total
Caesar,19338,10632,24719,1980,2093,1543,1063,1347,2006,21380,22738,21070,13319,21986,22637,187851
Camilla,4662,2225,7727,3188,1761,4176,4031,868,3392,0,31753,25578,15782,33628,34367,173138
Paris,14700,8411,17524,6627,4152,0,0,3509,6573,0,0,0,0,0,0,61496
Charlie,0,0,0,20325,1970,195,2097,15669,20433,0,0,0,0,0,0,60689
Penelope,0,0,0,7150,0,3091,4312,5513,7192,0,7447,2645,662,10310,10361,58683
Pablo,0,0,0,2834,0,2803,2609,5730,2836,748,3818,3845,3963,3840,3875,36901
Gary,0,0,0,5188,0,0,0,2667,5211,0,0,0,0,0,0,13066
Gina,0,0,0,2615,0,0,0,1977,2559,0,0,0,0,0,0,7151
Peter,0,0,0,0,0,0,0,0,0,3072,0,0,0,0,0,3072
Olivia,18,0,0,90,0,0,0,0,90,0,0,0,0,0,0,198
Olga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
